发行商,电影名,评论人数
惊世未了缘(港)  /  梅尔吉勃逊之英雄本色(台),勇敢的心,298350
幻海奇缘(港)  /  剪刀手爱德华,剪刀手爱德华,489249
仙乐飘飘处处闻(港)  /  真善美(台),音乐之声,234233
许愿  /  希望：为爱重生(台),素媛,180020
黑色追緝令(台)  /  危险人物(港),低俗小说,338256
奇幻逆缘(港)  /  返老还童,本杰明·巴顿奇事,397545
廿二世纪杀人网络(港)  /  骇客任务(台),黑客帝国,283768
沉默的羔羊,沉默的羔羊,356605
礼仪师之奏鸣曲(港)  /  礼仪师(台),入殓师,321207
雷霆救兵(港)  /  抢救雷恩大兵(台),拯救大兵瑞恩,239803
真爱伴我行(台)  /  玛莲娜,西西里的美丽传说,351418
巧克力情缘(台)  /  同是天涯寂寞客,玛丽和马克思,233589
蝴蝶效应,蝴蝶效应,384761
搏击会(港)  /  斗阵俱乐部(台),搏击俱乐部,412750
12怒汉  /  十二怒汉,十二怒汉,176643
萌动青春  /  青春萌动,怦然心动,566820
魔戒三部曲：王者再临(台 / 港) ,指环王3：王者无敌,291843
少年Pi的奇幻漂流  /  漂流少年Pi,少年派的奇幻漂流,593203
Tenkû no shiro Rapyuta  /  Laputa: Castle in the Sky,天空之城,341604
Devils on the Doorstep,鬼子来了,235826
蝙蝠侠前传2：黑暗骑士  /  黑暗骑士(台),蝙蝠侠：黑暗骑士,331457
人生  /  Lifetimes,活着,276098
金枝玉叶(港)  /  罗马假期(台),罗马假日,395064
西游记101回月光宝盒  /  齐天大圣东游记,大话西游之月光宝盒,408076
够姜四小强(港)  /  两根枪管(台),两杆大烟枪,279304
冲天救兵(港)  /  天外奇迹(台),飞屋环游记,508600
他人的生活  /  别人的生活,窃听风暴,228693
飞越杜鹃窝  /  飞越喜鹊巢,飞越疯人院,283152
血色海湾(台)  /  海湾,海豚湾,184852
女人香  /  女人的芳香,闻香识女人,328770
V煞(港)  /  V怪客(台),V字仇杀队,425661
呼啸山城  /  霍尔的移动城堡,哈尔的移动城堡,356963
雄才伟略  /  情妇,控方证人,92323
教父续集  /  教父II,教父2,190777
有你终生美丽(港)  /  美丽境界(台),美丽心灵,310315
暴雨骄阳(港)  /  春风化雨(台),死亡诗社,283400
魔戒二部曲：双城奇谋  /  指环王II：双塔,指环王2：双塔奇兵,275133
魔戒首部曲：魔戒现身  /  指环王I：护戒使者,指环王1：魔戒再现,307633
月黑高飞(港)  /  刺激1995(台),肖申克的救赎,910195
再见，我的妾  /  Farewell My Concubine,霸王别姬,656235
杀手莱昂  /  终极追杀令(台),这个杀手不太冷,865161
福雷斯特·冈普,阿甘正传,736267
一个快乐的传说(港)  /  Life Is Beautiful,美丽人生,429872
神隐少女(台)  /  Spirited Away,千与千寻,686660
舒特拉的名单(港)  /  辛德勒名单,辛德勒的名单,395320
铁达尼号(港 / 台),泰坦尼克号,677043
潜行凶间(港)  /  全面启动(台),盗梦空间,786150
瓦力(台)  /  太空奇兵·威E(港),机器人总动员,512982
声光伴我飞(港)  /  一九零零的传奇,海上钢琴师,614927
三个傻瓜(台)  /  作死不离3兄弟(港),三傻大闹宝莱坞,695839
忠犬小八(台)  /  秋田犬八千(港),忠犬八公的故事,472753
歌声伴我心(港)  /  唱诗班男孩,放牛班的春天,467610
西游记完结篇仙履奇缘  /  齐天大圣西游记,大话西游之大圣娶亲,505550
Mario Puzo&#39;s The Godfather,教父,354439
邻家的豆豆龙  /  隔壁的特特罗,龙猫,431457
真人Show(港)  /  真人戏,楚门的世界,473119
飘,乱世佳人,278369
星光伴我心(港)  /  新天堂乐园(台),天堂电影院,317326
闪亮人生(港)  /  逆转人生(台),触不可及,377335
寻找快乐的故事(港)  /  追求快乐,当幸福来敲门,554965
无声呐喊(港)  /  漩涡,熔炉,264578
Infernal Affairs  /  Mou gaan dou,无间道,413284
星际启示录(港)  /  星际效应(台),星际穿越,501523
